Fornavne til mænd pr. 1. januar 2014

Navn	ANTAL
NIMA	104
DOMINIC	103
FINI	103
HABIB	103
MUHAMMET	103
UGUR	103
ABDULRAHMAN	102
BASHIR	102
BENDIX	102
CILAS	102
ISAC	102
JESSE	102
NICOLAE	102
SELIM	102
TARIQ	102
AYUB	101
BÜNYAMIN	101
EDDY	101
ENGIN	101
FALKE	101
FREDERIC	101
LARS-BO	101
LAUS	101
RASHID	101
SERGIO	101
GERHARDT	100
JAIS	100
NASIR	100
SAFET	100
THURE	100
UMUT	100
WIESLAW	100
WIKTOR	100
BRYAN	99
EL	99
HÅKON	99
EMRAH	98
HAAKON	98
IOANNIS	98
MAKSYM	98
NADER	98
QUANG	98
SHAHID	98
VOLKAN	98
GHEORGHE	97
IDRIS	97
KONSTANTINOS	97
KRYSTIAN	97
MANTAS	97
RIKARD	97
SAIF	97
YASSER	97
	97
ALEJANDRO	96
ALEKS	96
ARNT	96
ASAD	96
EFE	96
FRIEDRICH	96
ANTONI	95
AYOUB	95
BERNARD	95
CATALIN	95
DOUGLAS	95
ERHARD	95
ION	95
LARS-HENRIK	95
LENNARTH	95
SEVERIN	95
BARTLOMIEJ	94
GREGORY	94
IHSAN	94
JOSVA	94
LEE	94
SKJOLD	94
UMAR	94
YANNICK	94
BENYAMIN	93
CALVIN	93
DIMITRIOS	93
FIKRET	93
LESZEK	93
LIBAN	93
SAMET	93
SELCUK	93
SERDAR	93
ØYVIND	93
BENN	92
CHARLY	92
KEREM	92
LEAN	92
MAXIMILLIAN	92
MOUSSA	92
NICKOLAS	92
STUART	92
ALDIN	91
ARTEM	91
CHRISTOPHE	91
DUC	91
EDUARDO	91
JIHAD	91
PAULO	91
ZAIN	91
BJERNE	90
ERHAN	90
HICHAM	90
ISSAM	90
JANIS	90
LENNERT	90
NURI	90
RADU	90
RAHIM	90
SALMAN	90
SHANE	90
TEIT	90
ARI	89
KRISTJAN	89
MILTON	89
ODIN	89
STINUS	89
ALBIN	88
DANI	88
ENRICO	88
GHASSAN	88
LENNARD	88
LORENZO	88
MARWAN	88
PETUR	88
PIETER	88
RASIM	88
TEJS	88
WAEL	88
ZELJKO	88
ABRAHAM	87
EJVIN	87
HANS-OLE	87
PETTER	87
ANDRES	86
ISTVAN	86
KAMRAN	86
KLAES	86
MICHELL	86
RUMLE	86
WAGN	86
WISSAM	86
ØMER	86
ANES	85
ARMAN	85
ARN	85
BARAN	85
DEREK	85
KARL-ERIK	85
MARCELL	85
MATIN	85
ODD	85
SALVATORE	85
TIMMY	85
ABEL	84
GERARD	84
ISHAK	84
JAVIER	84
KASIM	84
MICHELE	84
MICKY	84
NADEEM	84
STIAN	84
TUAN	84
VLAD	84
YOSEF	84
ANDREJ	83
ELVIR	83
ENIS	83
ESAD	83
FADIL	83
HEKTOR	83
KEVEN	83
MOHAMUD	83
NIKOLAOS	83
NOOR	83
NORMANN	83
OKAN	83
REINHARD	83
AMEL	82
CEM	82
JENS-HENRIK	82
MELVIN	82
RESUL	82
SASA	82
ÜMIT	82
CELAL	81
ESPER	81
GHOLAM	81
HALVOR	81
IULIAN	81
KARL-JOHAN	81
MEVLÜT	81
NEDZAD	81
PAU	81
SALEM	81
THIM	81
ALIJA	80
DENNI	80
DUMITRU	80
HILMER	80
NIKOLAY	80
SAHIN	80
YAVUZ	80
AKRAM	79
ANDRIY	79
CLEMENS	79
FABIO	79
GEIR	79
JAKUP	79
JAN-ERIK	79
JOHS	79
LENNI	79
NICHOLAJ	79
NIHAT	79
RAMADAN	79
TROND	79
TURE	79
BILLE	78
BOE	78
CORNELIS	78
DAMIEN	78
HUNG	78
LORENS	78
SORIN	78
TAUS	78
VILLE	78
VILMER	78
VITO	78
ASLAN	77
BOY	77
CARL-CHRISTIAN	77
DICK	77
ERNEST	77
HUSEIN	77
MORTEZA	77
RAMIN	77
SABAH	77
SEMIH	77
SIGVALD	77
YASIR	77
AMJAD	76
DANIJEL	76
DIMITAR	76
EMAD	76
GUNNI	76
NAVID	76
OKTAY	76
OZAN	76
SABAN	76
SAMSON	76
VALDE	76
VELI	76
BEKIM	75
JENS-KRISTIAN	75
LUCIAN	75
MELIH	75
MIR	75
MYKOLA	75
NAIM	75
NENAD	75
RAMIZ	75
TRYGVE	75
ZAKI	75
ABDURRAHMAN	74
ABED	74
ALEC	74
ANIL	74
ASSER	74
CHI	74
EMIRHAN	74
HUSSAM	74
JALTE	74
JUSUF	74
JÖRG	74
MUZAFFER	74
SHAHIN	74
ABDALLA	73
ASIF	73
ATLE	73
DETLEF	73
EGGERT	73
JAIME	73
KARL-HEINZ	73
LEVENT	73
MAXIM	73
POUL-HENNING	73
RAPHAEL	73
SAMAN	73
STANISLAV	73
VOLKER	73
AYDIN	72
BELAL	72
DAVIDE	72
EUGEN	72
FUAD	72
GERALD	72
MAKSIM	72
MARLEY	72
MATEO	72
NINO	72
PATRICH	72
SHAUN	72
SIRIUS	72
SLOBODAN	72
TAO	72
THORMOD	72
UNO	72
WILLAS	72
ABDULAHI	71
CIPRIAN	71
KAZIMIERZ	71
MICAEL	71
NATHANIEL	71
PAULIUS	71
SYLWESTER	71
VAHID	71
VIDAR	71
YONIS	71
ATILLA	70
DARIO	70
FIRAS	70
HALIT	70
LASZLO	70
MILOS	70
MIRKO	70
PETRU	70
REIDAR	70
SEMIR	70
SVANTE	70
VILLI	70
XAVIER	70
ABDULLA	69
ANGEL	69
EHSAN	69
ERGIN	69
KASSEM	69
LARS-OLE	69
MANSOUR	69
RAUL	69
RUSLAN	69
SABRI	69
SIMEON	69
TINUS	69
TUNCAY	69
UDO	69
VYTAUTAS	69
ZSOLT	69
ALEXANDAR	68
ANTOINE	68
ARAM	68
BERT	68
CONG	68
EBRAHIM	68
GRAHAM	68
HAKIM	68
JAFAR	68
JOAO	68
SERGIY	68
SÜKRÜ	68
VITALII	68
WEI	68
ZAHID	68
ALAIN	67
ALEKSANDR	67
AMDI	67
DANIELE	67
DANILO	67
DINH	67
ETHAN	67
FEDERICO	67
GEOFFREY	67
NEDIM	67
NIELS-JØRN	67
OGUZ	67
YAKUB	67
YOUSIF	67
ZOLTAN	67
EIGILD	66
HAROON	66
IURII	66
JULIEN	66
MARCOS	66
MARLON	66
MUHAREM	66
NIHAD	66
OLA	66
VADYM	66
ZLATKO	66
BRAHIM	65
DARKO	65
DONATAS	65
HARLEY	65
JOZSEF	65
KAAN	65
MEIK	65
NOHR	65
WILLEM	65
DUY	64
FAHAD	64
GAZI	64
GERRIT	64
JOVAN	64
MEHRDAD	64
NECATI	64
NICOLA	64
NIKITA	64
SAJJAD	64
SALAM	64
SHAHZAD	64
TOLGA	64
WAQAS	64
ANTONY	63
ARTURAS	63
BABAK	63
CARIT	63
CHRISTOS	63
CODY	63
CONNY	63
DUSAN	63
FARHAN	63
FERENC	63
HELGI	63
HUU	63
HØGNI	63
JAKE	63
LONG	63
MASSIMO	63
MIHAIL	63
MOUNIR	63
OGUZHAN	63
SELAHATTIN	63
STEIN	63
VILAS	63
YONAS	63
ASHRAF	62
AYAD	62
BARRY	62
FRANCOIS	62
GUDMUNDUR	62
HUSEYIN	62
JANOS	62
JØRN-OLE	62
LARS-PETER	62
TAMAS	62
TAN	62
VAIDAS	62
VASYL	62
ZAKARIYA	62
ZEKI	62
ELMAR	61
GAVIN	61
GØSTA	61
HARRIS	61
ISLAM	61
IWAN	61
LAURS	61
MOSES	61
NAVEED	61
NERIJUS	61
NEVZAT	61
RAYAN	61
SASCHA	61
SEDAT	61
THOMMAS	61
TUNE	61
WALEED	61
ZAID	61
AJDIN	60
ALIN	60
ALVARO	60
DON	60
FRED	60
GUY	60
MAHMUD	60
RAZVAN	60
VIRGIL	60
ATIF	59
AYAAN	59
DIMITRI	59
DIYAR	59
ELITH	59
ERDOGAN	59
FARAH	59
GUSTAVO	59
HAMIT	59
KAMEL	59
KAROLIS	59
LAURENT	59
MICKLAS	59
MIKOLAJ	59
NIGEL	59
OVIDIU	59
RAM	59
RONI	59
SANDOR	59
SANEL	59
SUAD	59
THERKEL	59
TORMOD	59
TRUNG	59
VEYSEL	59
VITALIY	59
YUSEF	59
ZIYA	59
ALEXZANDER	58
ANH	58
BESIM	58
DRAGOS	58
DYLAN	58
EDDI	58
ELDIN	58
