Fornavne til kvinder pr. 1. januar 2014

Navn	ANTAL
NANETTE	102
RASA	102
SEVDA	102
TÜLAY	102
ALISON	101
HAFSA	101
NELLI	101
ROXANA	101
TONIE	101
VIRGINIA	101
ANE-MARIE	100
ANI	100
ANNELIS	100
ANNET	100
BEINTA	100
BERIVAN	100
JADWIGA	100
JONNY	100
MARLENA	100
NIELSINE	100
VALERIA	100
ANNELINE	99
ARIFE	99
CHANEL	99
GORDANA	99
JULIJA	99
KATALIN	99
SALLI	99
SERAP	99
ASLI	98
AURA	98
CHLOE	98
FATEN	98
KATERYNA	98
LIZZY	98
NADIN	98
RAYAN	98
SIMA	98
SUSANN	98
BEYZA	97
EMAN	97
ERLA	97
HANNI	97
NATJA	97
SINA	97
WAFAA	97
ANNE-LENE	96
CHRISTIN	96
EMEL	96
ENISA	96
MELIKA	96
RUT	96
SAMINA	96
SEBRINA	96
TIFFANY	96
AINA	95
AYSEGÜL	95
DESIRÉE	95
GRITT	95
NAN	95
PERIHAN	95
RIA	95
SOL	95
ULRIKE	95
ADELA	94
AMNA	94
ANNE-CATHRINE	94
BERTA	94
CYNTHIA	94
DRAGANA	94
HAMDI	94
KJESTINE	94
KRESTINE	94
LUKA	94
MALIA	94
NUR	94
RASMINE	94
REEM	94
SHAHNAZ	94
TETYANA	94
VANJA	94
ADILE	93
DIJANA	93
ELAINE	93
IULIIA	93
JANETTE	93
KIRI	93
LIANA	93
MANON	93
MARIYA	93
NAJMA	93
RASHA	93
REGITSE	93
SHEENA	93
SILVANA	93
ALENA	92
ANIA	92
ANN-CHARLOTTE	92
ETLY	92
FATIME	92
FELINE	92
FRIGG	92
GERTIE	92
GHADA	92
HAYAT	92
ISRA	92
JANI	92
JURGITA	92
MAIKE	92
NESLIHAN	92
YVETTE	92
ATHENA	91
ELLIE	91
FRANCISKA	91
INGELIS	91
JEANIE	91
JULIET	91
KIKKI	91
LIDA	91
LISSEN	91
LJILJANA	91
MARIETTE	91
MIKELA	91
MILICA	91
NABILA	91
NATASA	91
NILLE	91
PENELOPE	91
SALINA	91
SARI	91
SHIRIN	91
ARZU	90
MALAIKA	90
MARYNA	90
MISCHA	90
NERMIN	90
NURAY	90
SELDA	90
VILJA	90
ANASTASIJA	89
HAVVA	89
JUDI	89
MALENA	89
NITA	89
REBECKA	89
SABRIN	89
VALERIE	89
WIOLETTA	89
YING	89
ANNA-MARIA	88
ILAYDA	88
JASMINKA	88
JOSEFINA	88
