Efternavne pr. 1. januar 2014

Navn	ANTAL
TØTTRUP	424
ABBAS	423
BØRSTING	423
HILDEBRANDT	423
PETTERSON	423
SCHJØDT	423
STRYHN	423
WESTERMANN	423
JOKUMSEN	422
ERLANDSEN	421
LA COUR	421
ZIEGLER	421
NYMARK	420
RØNNOW	419
BINDERUP	418
LANGBALLE	418
BEK	417
GULDBORG	417
HAHN	417
HOSTRUP	417
RYGAARD	417
SARI	417
SØNDERUP	417
FYHN	416
GRAU	415
MALMBERG	415
MORSING	415
HOUMANN	414
BIGUM	413
GLUD	413
NYMAND	413
PEHRSON	413
VILSTRUP	413
TERKILDSEN	412
BECHMANN	411
DEHN	411
TOBIASEN	411
WINKEL	411
BERGER	410
HAMID	410
BUUR	409
STENTOFT	409
MØRCK	408
RUNGE	408
FRØLUND	407
HOVMAND	407
KLINGE	407
LIN	407
TIMMERMANN	407
GISSEL	406
MUSTAFA	406
RODE	406
HENNEBERG	405
KIILERICH	405
KJER	405
ÖZDEMIR	405
EDVARDSEN	404
KALLESØE	404
MAHLER	404
WILLADSEN	404
BASSE	403
HERSKIND	403
THOMAS	403
BROCH	402
THYBO	402
FREDSLUND	401
KRAUSE	401
HASSING	400
HJELM	400
LINDAHL	400
NELLEMANN	400
HØIER	399
THORSTED	399
DENCKER	398
GULDBÆK	398
BJØRNSKOV	397
LAUTRUP	397
RITTER	397
FORSBERG	396
THORSAGER	396
LEE	395
SEERUP	395
SNEDKER	395
AVCI	394
BÆRENTSEN	394
PRÆST	394
VOGNSEN	394
NORDSTRØM	393
FRIBERG	392
GYLLING	392
JUNGE	392
LEMMING	392
ROKKJÆR	392
SKOVBY	392
MARTIN	391
MONRAD	391
RIX	391
BRUUS	390
NØRGÅRD	390
AMIN	389
NYBO	389
TONNESEN	389
ØRSTED	389
ABEL	388
AGERBO	388
KJELLERUP	388
LÜTZEN	388
FUTTRUP	387
HELMS	387
HØG	387
STAUSHOLM	387
SUND	387
THINGGAARD	387
ØRSKOV	387
AGERHOLM	386
ALBÆK	386
BERTRAM	386
JENSBY	386
MEISNER	386
SAFI	386
SCHØLER	386
BERGSTRØM	385
KEHLET	385
WOLLESEN	385
REENBERG	383
TYGESEN	383
BARFOD	382
BONDESEN	382
CARLSON	382
HOLLÆNDER	382
RAAHAUGE	382
SANDAGER	382
BEHRENS	381
BORRE	381
LUNDING	381
MENG	381
WILLIAMS	381
ØHLENSCHLÆGER	381
LANGKILDE	380
TERMANSEN	380
VU	380
ARILDSEN	379
FÆRCH	379
HASTRUP	379
